id,name,email,cpf,phone,city,state,created_at,updated_at
a3474838-c0f8-43a3-84be-862286dc54d8,Brenda Alves,samuel32@example.net,104.332.181-96,+55 51 8196 0013,Montenegro,RN,2026-03-22 00:00:00,2026-03-22 00:00:00
5ee6cdbf-61f9-422e-9822-2fb69b563cc5,Gael Henrique Silva,ccamara@example.net,001.338.908-38,+55 84 0265-4235,Borges,MG,2026-03-22 00:00:00,2026-03-22 00:00:00
70d68c40-feb1-4d97-8e07-9a4dacaa2baf,Luiz Henrique Ferreira,caio78@example.org,637.940.265-42,41 1849 5931,Ribeiro,ES,2026-03-22 00:00:00,2026-03-22 00:00:00
acaa128e-8463-4ba9-afc8-c8914b0fd460,Bruno da Conceição,garciaagatha@example.com,351.161.559-40,21 2553 4192,Castro,PB,2026-03-22 00:00:00,2026-03-22 00:00:00
ffe6f7b2-a317-42ba-a075-1e553688884b,Júlia Porto,ayllavargas@example.org,781.618.495-93,+55 31 0564-1395,Rezende,PR,2026-03-22 00:00:00,2026-03-22 00:00:00
2051878e-67f4-4ea3-9a97-5616ab8fdb46,Natália Casa Grande,joao-lucas38@example.net,103.413.164-75,+55 71 9696-5328,Borges de Sá,AL,2026-03-22 00:00:00,2026-03-22 00:00:00
7cc6faa4-be2d-4f3a-a5b2-2aa682132759,Eduardo Pires,laviniapeixoto@example.org,255.341.928-32,51 6978 4801,Vargas Alegre,AM,2026-03-22 00:00:00,2026-03-22 00:00:00
6dbfb604-908d-4980-a997-8966c148c34a,Pedro Henrique Castro,uabreu@example.net,764.835.030-56,+55 71 8281-4893,Freitas,SP,2026-03-22 00:00:00,2026-03-22 00:00:00
9d0e7ad3-c676-436a-9ff8-2e4e346cd43a,Vitor Hugo Vasconcelos,peixotoayla@example.com,413.953.767-24,+55 (031) 1543 0391,Siqueira,PR,2026-03-22 00:00:00,2026-03-22 00:00:00
2cc559a0-7bdd-4462-b6a0-825f731aae88,Vitor Vargas,jose-miguelribeiro@example.com,238.849.696-53,81 2489-6383,Guerra da Praia,PB,2026-03-22 00:00:00,2026-03-22 00:00:00
d6a019fe-717d-4d79-a0ac-5d81c8e24cc6,Milena Campos,raelazevedo@example.com,287.101.226-91,+55 (031) 9839 3010,Azevedo,AL,2026-03-22 00:00:00,2026-03-22 00:00:00
a929dc29-9144-4bb0-b978-c122d7a1d2fe,Sr. Théo da Costa,maria-vitoria38@example.org,669.784.801-84,0500 973 7631,Ribeiro,PA,2026-03-22 00:00:00,2026-03-22 00:00:00
dbd37577-c959-47fc-9e56-2b5323cb334d,Dr. Noah Martins,rochagael-henrique@example.org,514.627.048-28,71 5133 3872,Cirino Paulista,PB,2026-03-22 00:00:00,2026-03-22 00:00:00
2abe8ca9-cc39-4f14-bc47-76c8a68cc79a,Breno Macedo,aragaovalentina@example.org,148.932.528-80,+55 31 3267 7360,Garcia,AC,2026-03-22 00:00:00,2026-03-22 00:00:00
